ruleName,alarmCode,groupLevel,alarmCodeID,groupLevelID
taping,2406,DPLevel2,6cfed7b4-5e8e-4f56-b6b0-0ea9c690aa87,
taping,2407,DPLevel2,3e394f90-8a21-4ee7-829d-8bb0dcfcc9f9,
taping,2408,DPLevel2,bb581f24-fd41-4132-b60a-5a6ba22e89d2,
taping,2409,DPLevel2,2bf52ace-cd26-46e4-874c-e67e7e04e476,
taping,2410,DPLevel2,725763fa-1713-464b-9cb3-6d09a54b9168,
taping,2411,DPLevel2,c8550b36-da3a-4597-9a0b-29e15a1dbfaa,
taping,2419,DPLevel2,bca175fb-9477-4278-8402-41f717723b94,
taping,2450,DPLevel2,52451b42-07d8-4203-b20e-c6cc8b0359bd,
taping,2451,DPLevel2,9ff79c75-ba52-4e96-b5b8-6643c07e12b9,
taping,2452,DPLevel2,654dc1e0-73ec-4446-a6db-bd35538671d1,
taping,2453,DPLevel2,46b53091-d78a-4ee4-bf16-eef2ec8fe2df,
taping,2454,DPLevel2,830ece4f-fd8c-436d-b5a0-dd11ba23c08f,
taping,2455,DPLevel2,ca73de95-72fb-46b6-a5b1-f0fc3a0bb753,
taping,2456,DPLevel2,0d4fdb48-dc12-4fde-a427-ee437bb2c0d8,
taping,2457,DPLevel2,e8031092-4612-450f-9e6f-0fde2359d4d2,
taping,2458,DPLevel2,769f8b27-f9c0-4738-8a6d-3274cef7537e,
taping,2459,DPLevel2,d329cbdd-7a74-495f-8afe-00b80c13fb4a,
taping,2460,DPLevel2,f460e915-fdc6-45a4-bfa6-1ff8e6fad81f,
taping,2461,DPLevel2,b789db7c-e8ac-4ca0-a9f6-4d2f7b4306b0,
taping,2469,DPLevel2,f44a7c97-0437-4a0a-b1c8-f94d9b6d9ef3,
taping,2600,DPLevel2,f94399d9-27fb-4144-b232-28f4223815ce,
taping,2800,DPLevel2,0367a402-524f-44e8-b170-f0895e658266,
taping,2801,DPLevel2,e6302c5d-643c-4299-819d-1dec7813125a,
taping,2802,DPLevel2,955911c6-2e29-43e2-b036-8c368f20b9d4,
taping,2803,DPLevel2,c4977eab-c979-4403-bd4d-cbac9dc02c23,
taping,2804,DPLevel2,9632bd53-172d-4c47-ad0a-e8a7e3e2ff40,
taping,2805,DPLevel2,e84c2e06-b6ca-4a81-bd0f-d36460daf613,
taping,2809,DPLevel2,59083181-a350-44ed-b92f-b4a4020d33aa,
taping,2850,DPLevel2,f4677e4e-0f88-4ae8-aa19-ffe6917a98cc,
taping,2851,DPLevel2,abb390ab-5b8f-4825-804b-347b2448e77a,
taping,2852,DPLevel2,b7647d61-631f-4d24-82ce-079ffe0ae228,
taping,2853,DPLevel2,83fcfa6b-7bf2-4929-ba34-81368153f539,
taping,2854,DPLevel2,66847c5c-7db3-41ed-8f66-aa8d9f73e9a7,
taping,2855,DPLevel2,be5fc0d8-bfcf-490d-b0c5-621fcf17b1fc,
taping,2859,DPLevel2,d2fbda87-ec02-467f-b17a-a553e30b0fa6,
taping,2900,DPLevel2,cc13fef5-d613-4302-a7d7-0e3e5e54000b,
taping,2901,DPLevel2,688fb997-375b-4f74-a7ff-fe0d08c70166,
taping,2902,DPLevel2,30a43306-e1d2-420c-9a83-1c2b04055ced,
taping,2903,DPLevel2,9f433287-9c31-46e5-8b62-2b48f8d3146b,
taping,2904,DPLevel2,0e4d8e5e-f02e-4b9e-a3b2-6ee668f55ce8,
taping,2905,DPLevel2,e628698e-5c6e-4cc0-aebf-c7e90743eff0,
taping,2909,DPLevel2,46d02a19-1309-4f40-bb36-814d60a9ae71,
taping,2950,DPLevel2,a6766285-7c2a-4a33-a583-d83084d9c9e6,
taping,2951,DPLevel2,fb36bd7f-47bc-4f94-91f2-4d6085af4e7d,
taping,2952,DPLevel2,f166b999-a564-42d6-b3ac-7f63b96d322c,
taping,2953,DPLevel2,2cd28512-ea11-4a08-9092-b2d31147e047,
taping,2954,DPLevel2,646ce12a-e036-495c-b607-38a267d51c14,
taping,2955,DPLevel2,6a7fab11-a478-4a57-8ed1-c8124d49ff98,
taping,2959,DPLevel2,15f1900d-14aa-4851-a9e1-6736403ebc35,
taping,3100,DPLevel2,e379aa83-b317-448d-8fd8-0cbf6ceb8309,
taping,3101,DPLevel2,b67b2c01-aef9-41a5-8e11-35e211ddede5,
taping,3102,DPLevel2,9e64c7f2-347b-4037-9aac-6ca15f73fe86,
taping,3103,DPLevel2,31848f61-ff91-4ed1-8c28-8e316a0e3615,
taping,3104,DPLevel2,38dc539a-3542-46e8-92d6-79a12e1f89ea,
taping,3105,DPLevel2,90768d5c-211e-4472-976c-bc8d5aeb3670,
taping,3106,DPLevel2,5defc788-4e5e-47c9-b845-a375048ecccb,
taping,3107,DPLevel2,5d9b8ceb-7bea-4600-ae0e-ac8c7b2cf89b,
taping,3108,DPLevel2,4076a41a-261e-4df3-8cb0-ca28e4724bbe,
taping,3111,DPLevel2,ff4076f5-336e-47c0-bc39-8dc1232a7639,
taping,3112,DPLevel2,c18f8fcd-3bc0-458b-80ba-058f7602e2f6,
taping,3114,DPLevel2,e15f9779-0eeb-4a0f-b607-57fff4db8c1f,
taping,3115,DPLevel2,875a6853-5564-4fff-ab21-dd2c1a9c86b1,
taping,3116,DPLevel2,e8481884-5a35-4ba9-a64e-17ddbb086060,
taping,3117,DPLevel2,df4095f7-fecf-4e52-858b-dc3af1ae9868,
taping,3118,DPLevel2,394b6c5e-7cd2-49e2-9a25-88e6f0f2ea55,
taping,3119,DPLevel2,797f6813-2dc0-41a1-8b3b-28f24b46830d,
taping,3120,DPLevel2,4636585b-0fce-4c63-aa56-0c8f9b42c98d,
taping,3121,DPLevel2,902ed85f-74e7-4bc1-8444-4fc57c405660,
taping,3122,DPLevel2,ea7189fd-9474-4f2d-9124-0e9875da7d84,
taping,3123,DPLevel2,4b1b1540-aeed-415d-af18-2353bf742ce4,
taping,3124,DPLevel2,c1ab7d98-34ce-4e84-b778-fcdf7a3fba89,
taping,3125,DPLevel2,3612f38b-83c6-455f-808f-e4fb0e0515ae,
taping,3150,DPLevel2,89e0f5c8-c3ec-43ce-b93b-1e072c5e8f0a,
taping,3156,DPLevel2,b3740733-6ea3-4805-9e4c-67e2f037b18b,
taping,3157,DPLevel2,ce029edc-4526-4b29-b745-08c3362ca38f,
taping,3158,DPLevel2,026068b6-dc4e-4d31-895a-5e96b356ee85,
taping,3159,DPLevel2,614dcc42-510e-42f5-929e-c2c3e6c97a2f,
taping,3160,DPLevel2,c8b68674-d35a-481b-a567-47780da765fe,
taping,3161,DPLevel2,342bc80e-d646-448c-b0cf-9393659b5fc8,
taping,3162,DPLevel2,4224ceba-912b-4797-8cf5-824efc7d41f9,
taping,3163,DPLevel2,0474c769-e88c-4b40-be13-d4cd52d2009f,
taping,3164,DPLevel2,5117abf6-e6e7-46e4-9cf5-7a5005586cd5,
taping,3200,DPLevel2,b4fb94fd-ce09-4ad1-8e3d-bbece48039c4,
taping,3201,DPLevel2,c3296edb-cc66-49d2-9ad7-82615d623ff7,
taping,3202,DPLevel2,93d41af9-a704-42c4-aeff-5df81d430c54,
taping,3300,DPLevel2,3f2511b8-9677-4b10-a746-1fe3bee76ffa,
taping,3301,DPLevel2,6f97628b-7f4b-48d3-b476-37d2b7d7ca32,
taping,3302,DPLevel2,3e8f589a-0a70-4281-bf8a-7c2e50dbf3f2,
taping,3304,DPLevel2,335a26ef-d829-4f7b-b970-7e87fd8d2daa,
taping,3500,DPLevel2,db337cb8-0396-419e-a4c0-671a2045d96f,
taping,3501,DPLevel2,12e4b3ac-733c-4eff-9958-5fad97c7ee74,
taping,3502,DPLevel2,7d642f29-c5c1-45e9-a9b8-198030379c58,
taping,3503,DPLevel2,aa8fa09e-bf7d-4a92-bb38-f827e9be00c6,
taping,3504,DPLevel2,9dad12fd-f545-426c-b97d-3f24e55288d5,
taping,3505,DPLevel2,4a5d78d7-2b1e-416d-ab94-77093cd28fc1,
taping,3506,DPLevel2,7566fe1a-de9f-4e30-a8e6-608ad5fbeb01,
taping,3507,DPLevel2,4fadefa3-2cc5-40e3-b554-7531c4c778c7,
taping,3508,DPLevel2,4032e5cc-b587-496b-ad22-f2388688ba61,
taping,3509,DPLevel2,339c2b6b-2b53-4d8a-aa96-3db8d7573116,
taping,3510,DPLevel2,47b45d8b-0d27-4092-ad9e-4ecae2079bc4,
taping,3519,DPLevel2,ec7ed33a-a94e-4a73-a505-5208e4f26f73,
taping,4100,DPLevel2,4af56a0d-eb8e-4691-aad9-2668aedb49de,
taping,4102,DPLevel2,502a0ab4-c1a3-444b-884d-b838ac3513f0,
taping,4103,DPLevel2,f6500b0f-7836-4273-93fd-5c03b99c0895,
taping,4104,DPLevel2,021d4735-9726-40c7-8409-2e56d7f59c01,
